ID ,mpg ,cylinders ,displacement ,horsepower ,weight ,acceleration ,model ,origin ,car_name,price,
1,18,8,307,130,3504,12,70,1,chevrolet chevelle malibu,25561.59078,
2,15,8,350,165,3693,11.5,70,1,buick skylark 320,24221.42273,
3,18,8,318,150,3436,11,70,1,plymouth satellite,27240.84373,
4,16,8,304,150,3433,12,70,1,amc rebel sst,33684.96888,
5,17,8,302,140,3449,10.5,70,1,ford torino,20000,
6,15,8,429,198,4341,10,70,1,ford galaxie 500,30000,
7,14,8,454,220,4354,9,70,1,chevrolet impala,35764.3349,
8,14,8,440,215,4312,8.5,70,1,plymouth fury iii,25899.46557,
9,14,8,455,225,4425,10,70,1,pontiac catalina,32882.53714,
10,15,8,390,190,3850,8.5,70,1,amc ambassador dpl,32617.05928,
11,15,8,383,170,3563,10,70,1,dodge challenger se,30000,
12,14,8,340,160,3609,8,70,1,plymouth 'cuda 340,33034.92261,
13,15,8,400,150,3761,9.5,70,1,chevrolet monte carlo,30000,
14,14,8,455,225,3086,10,70,1,buick estate wagon (sw),26608.32842,
15,24,4,113,95,2372,15,70,3,toyota corona mark ii,36927.0666,
16,22,6,198,95,2833,15.5,70,1,plymouth duster,12561.10337,
17,18,6,199,97,2774,15.5,70,1,amc hornet,24260.62236,
18,21,6,200,85,2587,16,70,1,ford maverick,14228.30388,
19,27,4,97,88,2130,14.5,70,3,datsun pl510,15802.23935,
20,26,4,97,46,1835,20.5,70,2,volkswagen 1131 deluxe sedan,27471.29241,
21,25,4,110,87,2672,17.5,70,2,peugeot 504,40000,
22,24,4,107,90,2430,14.5,70,2,audi 100 ls,35897.43951,
23,25,4,104,95,2375,17.5,70,2,saab 99e,16905.84258,
24,26,4,121,113,2234,12.5,70,2,bmw 2002,15047.98937,
25,21,6,199,90,2648,15,70,1,amc gremlin,14045.89513,
26,10,8,360,215,4615,14,70,1,ford f250,25797.48544,
27,10,8,307,200,4376,15,70,1,chevy c20,40000,
28,11,8,318,210,4382,13.5,70,1,dodge d200,24928.42041,
29,9,8,304,193,4732,18.5,70,1,hi 1200d,45072.56865,
30,27,4,97,88,2130,14.5,71,3,datsun pl510,16992.08152,
31,28,4,140,90,2264,15.5,71,1,chevrolet vega 2300,13206.433,
32,25,4,113,95,2228,14,71,3,toyota corona,27078.79795,
33,25,4,98,? ,2046,19,71,1,ford pinto,26417.43542,
34,19,6,232,100,2634,13,71,1,amc gremlin,30000,
35,16,6,225,105,3439,15.5,71,1,plymouth satellite custom,44534.97074,
36,17,6,250,100,3329,15.5,71,1,chevrolet chevelle malibu,40000,
37,19,6,250,88,3302,15.5,71,1,ford torino 500,30000,
38,18,6,232,100,3288,15.5,71,1,amc matador,33970.66561,
39,14,8,350,165,4209,12,71,1,chevrolet impala,40000,
40,14,8,400,175,4464,11.5,71,1,pontiac catalina brougham,33793.72284,
41,14,8,351,153,4154,13.5,71,1,ford galaxie 500,30000,
42,14,8,318,150,4096,13,71,1,plymouth fury iii,15358.86347,
43,12,8,383,180,4955,11.5,71,1,dodge monaco (sw),23414.4171,
44,13,8,400,170,4746,12,71,1,ford country squire (sw),44211.91218,
45,13,8,400,175,5140,12,71,1,pontiac safari (sw),20000,
46,18,6,258,110,2962,13.5,71,1,amc hornet sportabout (sw),33328.42698,
47,22,4,140,72,2408,19,71,1,chevrolet vega (sw),20000,
48,19,6,250,100,3282,15,71,1,pontiac firebird,20000,
49,18,6,250,88,3139,14.5,71,1,ford mustang,40000,
50,23,4,122,86,2220,14,71,1,mercury capri 2000,27435.39589,
51,28,4,116,90,2123,14,71,2,opel 1900,20000,
52,30,4,79,70,2074,19.5,71,2,peugeot 304,36587.11859,
53,30,4,88,76,2065,14.5,71,2,fiat 124b,23790.82939,
54,31,4,71,65,1773,19,71,3,toyota corolla 1200,30000,
55,35,4,72,69,1613,18,71,3,datsun 1200,40000,
56,27,4,97,60,1834,19,71,2,volkswagen model 111,30000,
57,26,4,91,70,1955,20.5,71,1,plymouth cricket,40000,
58,24,4,113,95,2278,15.5,72,3,toyota corona hardtop,40000,
59,25,4,97.5,80,2126,17,72,1,dodge colt hardtop,20000,
60,23,4,97,54,2254,23.5,72,2,volkswagen type 3,26196.50504,
61,20,4,140,90,2408,19.5,72,1,chevrolet vega,33019.20813,
62,21,4,122,86,2226,16.5,72,1,ford pinto runabout,36453.30104,
63,13,8,350,165,4274,12,72,1,chevrolet impala,40000,
64,14,8,400,175,4385,12,72,1,pontiac catalina,26062.79358,
65,15,8,318,150,4135,13.5,72,1,plymouth fury iii,34663.83946,
66,14,8,351,153,4129,13,72,1,ford galaxie 500,20000,
67,17,8,304,150,3672,11.5,72,1,amc ambassador sst,20000,
68,11,8,429,208,4633,11,72,1,mercury marquis,16223.26834,
69,13,8,350,155,4502,13.5,72,1,buick lesabre custom,5975.709529,
70,12,8,350,160,4456,13.5,72,1,oldsmobile delta 88 royale,40000,
71,13,8,400,190,4422,12.5,72,1,chrysler newport royal,33048.80117,
72,19,3,70,97,2330,13.5,72,3,mazda rx2 coupe,25558.0312,
73,15,8,304,150,3892,12.5,72,1,amc matador (sw),1598.07337,
74,13,8,307,130,4098,14,72,1,chevrolet chevelle concours (sw),20000,
75,13,8,302,140,4294,16,72,1,ford gran torino (sw),30000,
76,14,8,318,150,4077,14,72,1,plymouth satellite custom (sw),26693.71811,
